sample_id,channel_id,channel_index,raw_channel_index,channel_role,sampling_rate_hz,duration_seconds,unique_value_count,minimum_stored_unit,maximum_stored_unit,standard_deviation_stored_unit,transition_rate,median_run_samples,dc_lsb_multiple_rate
train_000119,POL DC10,45,45,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,104.6397577320257,0.12920107667563896,2.0,1.0
train_000119,POL DC11,46,46,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0,183.05852792826443,0.3475362294685789,2.0,1.0
train_000119,POL DC12,47,47,auxiliary_dc,2000.0,60.0,3,-366.29998779296875,366.30029296875,36.53523885436392,0.018633488612405102,2.0,1.0
train_000119,POL DC13,48,48,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,55.05122211541027,0.03901699180826507,2.0,1.0
train_000119,POL DC14,49,49,auxiliary_dc,2000.0,60.0,2,-366.29998779296875,0.0001500000071246177,182.4916593209282,0.34875290627421895,2.0,1.0
train_000119,POL DC15,50,50,auxiliary_dc,2000.0,60.0,2,-732.5999755859375,-366.29998779296875,139.61894870700797,0.21843515362628022,2.0,1.0
train_000119,POL DC16,51,51,auxiliary_dc,2000.0,60.0,3,-732.5999755859375,0.0,52.66725463953764,0.036533637780314834,2.0,1.0
train_000119,POL AC1,124,124,seeg_ac_candidate,2000.0,60.0,3503,-165.8199920654297,236.71890258789062,54.64135591819557,0.9937332811106759,1.0,0.004282043962318013
train_000119,POL AC2,125,125,seeg_ac_candidate,2000.0,60.0,3261,-162.98825073242188,213.18356323242188,50.99632591406761,0.9935999466662222,1.0,0.004599816007359705
train_000119,POL AC3,126,126,seeg_ac_candidate,2000.0,60.0,3112,-149.3159637451172,196.2892608642578,48.41453016115422,0.9937916149301245,1.0,0.004820051413881748
train_000119,POL AC4,127,127,seeg_ac_candidate,2000.0,60.0,3022,-137.40203857421875,197.75408935546875,46.81175105992645,0.9940999508329236,1.0,0.004963600264725348
train_000119,POL AC5,128,128,seeg_ac_candidate,2000.0,60.0,2994,-139.74551391601562,190.8206787109375,46.139069639762944,0.993616613471779,1.0,0.00501002004008016
train_000119,POL AC6,129,129,seeg_ac_candidate,2000.0,60.0,2976,-141.69908142089844,185.3516387939453,45.904402661088874,0.9940249502079184,1.0,0.005040322580645161
train_000119,POL AC7,130,130,seeg_ac_candidate,2000.0,60.0,2983,-129.3942413330078,194.62905883789062,45.87306904858865,0.9934332786106551,1.0,0.005028494803888703
train_000119,POL AC8,131,131,seeg_ac_candidate,2000.0,60.0,3038,-138.2811737060547,196.48439025878906,46.87799531886206,0.9939582829856916,1.0,0.004937458854509546
train_000119,POL AC9,132,132,seeg_ac_candidate,2000.0,60.0,3253,-157.031005859375,204.5900115966797,50.157748660927254,0.9940916174301453,1.0,0.0046111281893636644
