network_window_seconds,channel_policy,sample_id,feature,signed_timing_error_seconds,absolute_timing_error_seconds,early_contrast,channels_used
1.5,exclude_line50_gt20db,train_000027,propagation_participation,0.28159100000000237,0.28159100000000237,26.044971466064453,92
1.5,exclude_line50_gt20db,train_000027,lagged_outflow,0.28159100000000237,0.28159100000000237,0.6871955394744873,92
1.5,exclude_line50_gt20db,train_000027,network_density,0.28159100000000237,0.28159100000000237,3.9301601201295853,92
1.5,exclude_line50_gt20db,train_000027,mean_lagged_connectivity,0.28159100000000237,0.28159100000000237,1.945506221614778,92
1.5,exclude_line50_gt20db,train_000128,propagation_participation,2.2287329999999983,2.2287329999999983,-1.6824531555175781,62
1.5,exclude_line50_gt20db,train_000128,lagged_outflow,2.2287329999999983,2.2287329999999983,0.1844465732574463,62
1.5,exclude_line50_gt20db,train_000128,network_density,2.9787329999999983,2.9787329999999983,-0.06053136941045523,62
1.5,exclude_line50_gt20db,train_000128,mean_lagged_connectivity,2.3537329999999983,2.3537329999999983,-0.03513947129249573,62
1.5,exclude_line50_gt20db,train_000211,propagation_participation,0.2898119999999995,0.2898119999999995,3.5803613662719727,155
1.5,exclude_line50_gt20db,train_000211,lagged_outflow,-0.08518800000000049,0.08518800000000049,0.3613671064376831,155
1.5,exclude_line50_gt20db,train_000211,network_density,2.1648119999999995,2.1648119999999995,0.534808985888958,155
1.5,exclude_line50_gt20db,train_000211,mean_lagged_connectivity,-0.08518800000000049,0.08518800000000049,0.45731728768441826,155
1.5,exclude_line50_gt20db,train_000274,propagation_participation,-0.7488150000000005,0.7488150000000005,-0.5032604932785034,66
1.5,exclude_line50_gt20db,train_000274,lagged_outflow,0.5011849999999995,0.5011849999999995,0.3248739242553711,66
1.5,exclude_line50_gt20db,train_000274,network_density,-0.6238150000000005,0.6238150000000005,-0.20887456089258194,66
1.5,exclude_line50_gt20db,train_000274,mean_lagged_connectivity,0.5011849999999995,0.5011849999999995,-0.22395558655261993,66
1.5,exclude_line50_gt20db,train_000430,propagation_participation,1.8463119999999975,1.8463119999999975,-11.240129470825195,64
1.5,exclude_line50_gt20db,train_000430,lagged_outflow,1.9713119999999975,1.9713119999999975,0.25986218452453613,64
1.5,exclude_line50_gt20db,train_000430,network_density,1.8463119999999975,1.8463119999999975,0.23074711859226227,64
1.5,exclude_line50_gt20db,train_000430,mean_lagged_connectivity,1.9713119999999975,1.9713119999999975,-0.10770111531019211,64
