sample_id,feature,feature_scope,channel_set,onset_seconds,peak_change_seconds,signed_timing_error_seconds,absolute_timing_error_seconds,baseline_level,early_ictal_level,early_contrast,top10_overlap,top10_enrichment,channels_used
train_000128,low_frequency_suppression,channel_local,line_clean,39.771267,42.625,2.8537329999999983,2.8537329999999983,1.0617876052856445,1.4403388500213623,0.3785512447357178,,,62
train_000128,spectral_centroid,channel_local,all,39.771267,39.0,-0.7712670000000017,0.7712670000000017,2.3078556060791016,1.7603269815444946,-0.5475286245346069,0.0,-0.5837900638580322,124
train_000128,spectral_centroid,channel_local,line_clean,39.771267,42.625,2.8537329999999983,2.8537329999999983,2.383354425430298,2.0773673057556152,-0.3059871196746826,,,62
train_000128,spectral_entropy_change,channel_local,all,39.771267,39.25,-0.5212670000000017,0.5212670000000017,1.5902644395828247,1.560999870300293,-0.02926456928253174,2.0,-0.34272778034210205,124
train_000128,spectral_entropy_change,channel_local,line_clean,39.771267,40.25,0.4787329999999983,0.4787329999999983,1.5468101501464844,1.5189868211746216,-0.027823328971862793,,,62
train_000128,rhythmicity,channel_local,all,39.771267,41.875,2.1037329999999983,2.1037329999999983,0.7774002552032471,0.8357508182525635,0.058350563049316406,3.0,0.12431526184082031,124
train_000128,rhythmicity,channel_local,line_clean,39.771267,41.875,2.1037329999999983,2.1037329999999983,0.7243391275405884,0.7590834498405457,0.034744322299957275,,,62
train_000128,multiband_fast_activity,channel_local,all,39.771267,42.75,2.9787329999999983,2.9787329999999983,0.8274839520454407,0.8248066306114197,-0.002677321434020996,2.0,0.18635821342468262,124
train_000128,multiband_fast_activity,channel_local,line_clean,39.771267,42.75,2.9787329999999983,2.9787329999999983,0.76955246925354,0.9479939937591553,0.17844152450561523,,,62
train_000128,fast_suppression_joint,channel_local,all,39.771267,39.0,-0.7712670000000017,0.7712670000000017,0.48232898116111755,0.7120495438575745,0.2297205626964569,0.0,-0.07013583183288574,124
train_000128,fast_suppression_joint,channel_local,line_clean,39.771267,41.25,1.4787329999999983,1.4787329999999983,0.40820810198783875,0.7104413509368896,0.3022332489490509,,,62
train_000128,physiology_composite,channel_local,all,39.771267,42.0,2.2287329999999983,2.2287329999999983,0.7575758695602417,0.8088321685791016,0.05125629901885986,0.0,-0.06958234310150146,124
train_000128,physiology_composite,channel_local,line_clean,39.771267,42.625,2.8537329999999983,2.8537329999999983,0.7228860855102539,0.7949963212013245,0.07211023569107056,,,62
train_000128,recruitment_consensus,channel_propagation,all,39.771267,42.0,2.2287329999999983,2.2287329999999983,2.5609147548675537,2.415584087371826,-0.14533066749572754,1.0,-0.39545536041259766,124
train_000128,recruitment_persistence,channel_propagation,all,39.771267,39.125,-0.6462670000000017,0.6462670000000017,1.3243849277496338,1.630670189857483,0.3062852621078491,1.0,-0.3006424307823181,124
train_000128,recruitment_change_rate,channel_propagation,all,39.771267,42.75,2.9787329999999983,2.9787329999999983,1.4543194770812988,1.4412217140197754,-0.013097763061523438,2.0,-0.1710500717163086,124
train_000128,early_recruitment_lead,channel_propagation,all,39.771267,41.0,1.2287329999999983,1.2287329999999983,13.27969741821289,12.02888298034668,-1.250814437866211,0.0,6.379641056060791,124
train_000128,propagation_participation,channel_propagation,all,39.771267,39.125,-0.6462670000000017,0.6462670000000017,8.33416748046875,8.368001937866211,0.03383445739746094,0.0,-2.0356273651123047,124
train_000128,lagged_outflow,channel_propagation,all,39.771267,40.0,0.2287329999999983,0.2287329999999983,1.0494667291641235,1.34941565990448,0.29994893074035645,0.0,-0.21562516689300537,124
train_000128,net_lagged_outflow,channel_propagation,all,39.771267,41.0,1.2287329999999983,1.2287329999999983,1.1804420948028564,1.652496337890625,0.47205424308776855,0.0,-0.2643810510635376,124
train_000128,coactivation_strength,channel_propagation,all,39.771267,42.0,2.2287329999999983,2.2287329999999983,1.0501099824905396,1.2795088291168213,0.22939884662628174,2.0,0.48895859718322754,124
train_000128,recruited_fraction_2z,global_propagation,all,39.771267,39.25,-0.5212670000000017,0.5212670000000017,0.0,0.0,0.0,,,124
train_000128,recruited_fraction_3z,global_propagation,all,39.771267,38.875,-0.8962670000000017,0.8962670000000017,0.0,0.0,0.0,,,124
train_000128,recruitment_fraction_slope,global_propagation,all,39.771267,39.125,-0.6462670000000017,0.6462670000000017,0.0,0.6744908094406128,0.6744908094406128,,,124
train_000128,recruitment_dispersion,global_propagation,all,39.771267,39.0,-0.7712670000000017,0.7712670000000017,0.10410470515489578,0.1446838527917862,0.04057914763689041,,,124
train_000128,propagation_front,global_propagation,all,39.771267,39.25,-0.5212670000000017,0.5212670000000017,0.0,0.0,0.0,,,124
train_000128,network_density,global_propagation,all,39.771267,42.0,2.2287329999999983,2.2287329999999983,0.006645225919783115,-0.2458733469247818,-0.2525185728445649,,,124
train_000128,largest_component_fraction,global_propagation,all,39.771267,42.75,2.9787329999999983,2.9787329999999983,0.0,-0.674490749835968,-0.674490749835968,,,124
train_000128,mean_lagged_connectivity,global_propagation,all,39.771267,40.0,0.2287329999999983,0.2287329999999983,-0.02554946020245552,0.46263039112091064,0.48817985132336617,,,124
train_000211,line_length,channel_local,all,14.210188,16.25,2.0398119999999995,2.0398119999999995,0.7698286175727844,0.3123476803302765,-0.45748093724250793,5.0,2.459414839744568,163
train_000211,line_length,channel_local,line_clean,14.210188,16.25,2.0398119999999995,2.0398119999999995,0.7207245230674744,0.18923529982566833,-0.531489223241806,,,155
train_000211,rms_change,channel_local,all,14.210188,17.0,2.7898119999999995,2.7898119999999995,1.4382145404815674,1.9805841445922852,0.5423696041107178,0.0,0.1307847499847412,163
train_000211,rms_change,channel_local,line_clean,14.210188,17.0,2.7898119999999995,2.7898119999999995,1.3429652452468872,1.992790699005127,0.6498254537582397,,,155
train_000211,teager_energy,channel_local,all,14.210188,16.5,2.2898119999999995,2.2898119999999995,0.7158029079437256,0.34957581758499146,-0.36622709035873413,3.0,0.37367936968803406,163
train_000211,teager_energy,channel_local,line_clean,14.210188,16.5,2.2898119999999995,2.2898119999999995,0.6879288554191589,0.1352826952934265,-0.5526461601257324,,,155
train_000211,kurtosis,channel_local,all,14.210188,13.625,-0.5851880000000005,0.5851880000000005,1.1523613929748535,1.695781946182251,0.5434205532073975,1.0,-0.33671271800994873,163
train_000211,kurtosis,channel_local,line_clean,14.210188,13.625,-0.5851880000000005,0.5851880000000005,1.0814422369003296,1.7401156425476074,0.6586734056472778,,,155
train_000211,beta_power,channel_local,all,14.210188,17.125,2.9148119999999995,2.9148119999999995,0.7762567400932312,0.29372739791870117,-0.48252934217453003,1.0,0.2015317678451538,163
train_000211,beta_power,channel_local,line_clean,14.210188,17.125,2.9148119999999995,2.9148119999999995,0.7890951633453369,0.22808852791786194,-0.561006635427475,,,155
train_000211,low_gamma_power,channel_local,all,14.210188,16.25,2.0398119999999995,2.0398119999999995,0.9048280715942383,0.6421703100204468,-0.2626577615737915,4.0,0.6347739696502686,163
train_000211,low_gamma_power,channel_local,line_clean,14.210188,16.25,2.0398119999999995,2.0398119999999995,0.9239239692687988,0.673382580280304,-0.2505413889884949,,,155
train_000211,high_gamma_power,channel_local,all,14.210188,14.375,0.16481199999999951,0.16481199999999951,1.0729148387908936,2.4396791458129883,1.3667643070220947,3.0,1.0416474342346191,163
train_000211,high_gamma_power,channel_local,line_clean,14.210188,14.375,0.16481199999999951,0.16481199999999951,1.0743956565856934,2.456550359725952,1.3821547031402588,,,155
train_000211,ripple_power,channel_local,all,14.210188,14.875,0.6648119999999995,0.6648119999999995,1.1518141031265259,1.8290657997131348,0.6772516965866089,2.0,-0.08735573291778564,163
train_000211,ripple_power,channel_local,line_clean,14.210188,14.25,0.039811999999999514,0.039811999999999514,1.145917296409607,1.8658366203308105,0.7199193239212036,,,155
train_000211,fast_ripple_power,channel_local,all,14.210188,16.625,2.4148119999999995,2.4148119999999995,1.190014123916626,2.137171983718872,0.9471578598022461,2.0,0.4026932716369629,163
train_000211,fast_ripple_power,channel_local,line_clean,14.210188,16.625,2.4148119999999995,2.4148119999999995,1.2038915157318115,2.177603244781494,0.9737117290496826,,,155
train_000211,high_low_ratio,channel_local,all,14.210188,15.375,1.1648119999999995,1.1648119999999995,0.6732059121131897,1.0937504768371582,0.4205445647239685,1.0,0.36283743381500244,163
train_000211,high_low_ratio,channel_local,line_clean,14.210188,15.375,1.1648119999999995,1.1648119999999995,0.675281822681427,1.081042766571045,0.4057609438896179,,,155
train_000211,low_frequency_suppression,channel_local,all,14.210188,14.375,0.16481199999999951,0.16481199999999951,0.7774397730827332,1.7027615308761597,0.9253217577934265,0.0,0.19072508811950684,163
train_000211,low_frequency_suppression,channel_local,line_clean,14.210188,14.375,0.16481199999999951,0.16481199999999951,0.7878221273422241,1.650026559829712,0.8622044324874878,,,155
train_000211,spectral_centroid,channel_local,all,14.210188,16.25,2.0398119999999995,2.0398119999999995,0.7777319550514221,1.1451627016067505,0.36743074655532837,0.0,0.17814922332763672,163
train_000211,spectral_centroid,channel_local,line_clean,14.210188,16.25,2.0398119999999995,2.0398119999999995,0.7204921245574951,1.117729902267456,0.39723777770996094,,,155
train_000211,spectral_entropy_change,channel_local,all,14.210188,14.5,0.2898119999999995,0.2898119999999995,1.263000249862671,1.463701844215393,0.20070159435272217,0.0,-0.025765657424926758,163
train_000211,spectral_entropy_change,channel_local,line_clean,14.210188,13.875,-0.3351880000000005,0.3351880000000005,1.2691742181777954,1.4062715768814087,0.13709735870361328,,,155
train_000211,rhythmicity,channel_local,all,14.210188,16.5,2.2898119999999995,2.2898119999999995,0.7699757814407349,0.6696982979774475,-0.10027748346328735,0.0,0.10027849674224854,163
