feature,relative_time_bin,median,q25,q75,n
high_gamma_power,-3.375,0.6545016765594482,-0.15842783451080322,0.7066224217414856,5
high_gamma_power,-3.25,0.16207456588745117,0.07332196831703186,0.28653061389923096,5
high_gamma_power,-3.125,-0.056331515312194824,-0.12168210744857788,0.0,5
high_gamma_power,-3.0,-0.056331515312194824,-0.12168210744857788,0.3260258436203003,5
high_gamma_power,-2.875,0.2267972230911255,0.05499929189682007,0.6131936311721802,5
high_gamma_power,-2.75,0.32357287406921387,0.18782824277877808,1.513748288154602,5
high_gamma_power,-2.625,0.4421365261077881,0.404177725315094,1.513748288154602,5
high_gamma_power,-2.5,0.43930941820144653,0.32357287406921387,1.4424194693565369,5
high_gamma_power,-2.375,0.3042876720428467,0.045089513063430786,0.43930941820144653,5
high_gamma_power,-2.25,-0.2689306288957596,-0.46652019023895264,0.0,5
high_gamma_power,-2.125,-0.2689306288957596,-0.46652019023895264,0.0,5
high_gamma_power,-2.0,-0.12807443737983704,-0.2689157724380493,0.04192662239074707,5
high_gamma_power,-1.875,-0.19611585140228271,-0.2930651307106018,0.04192662239074707,5
high_gamma_power,-1.75,-0.19611585140228271,-0.3802468180656433,0.04192662239074707,5
high_gamma_power,-1.625,-0.4076046943664551,-0.4509548544883728,0.17669880390167236,5
high_gamma_power,-1.5,-0.3226328492164612,-0.956447184085846,0.1992253065109253,5
high_gamma_power,-1.375,-0.5025622248649597,-1.31660857796669,0.16945332288742065,5
high_gamma_power,-1.25,-0.7642475366592407,-1.31660857796669,0.207106351852417,5
high_gamma_power,-1.125,-0.7642475366592407,-1.5454966351389885,0.10778510570526123,5
high_gamma_power,-1.0,-0.3396112322807312,-1.5198546350002289,-0.317801833152771,5
high_gamma_power,-0.875,-0.3396112322807312,-1.1938108801841736,0.011439710855484009,5
high_gamma_power,-0.75,-0.06546008586883545,-1.1938108801841736,0.2689647674560547,5
high_gamma_power,-0.625,-0.23007072508335114,-1.5510247275233269,0.13591241836547852,5
high_gamma_power,-0.5,-0.23007072508335114,-1.5609561204910278,-0.13579046726226807,5
high_gamma_power,-0.375,-0.1534140408039093,-1.554510772228241,-0.13579046726226807,5
high_gamma_power,-0.25,-0.1534140408039093,-1.4079875648021698,0.16701579093933105,5
high_gamma_power,-0.125,-0.1534140408039093,-1.2754473686218262,0.431240439414978,5
high_gamma_power,0.0,-0.12385988235473633,-1.4079875648021698,0.3123478889465332,5
high_gamma_power,0.125,-0.12385988235473633,-2.1756817400455475,1.367946743965149,5
high_gamma_power,0.25,0.11219906806945801,-2.2040513157844543,1.4563461542129517,5
high_gamma_power,0.375,0.13015270233154297,-2.1756817400455475,1.367946743965149,5
high_gamma_power,0.5,-0.07951891422271729,-1.735404722392559,0.1486567258834839,5
high_gamma_power,0.625,-0.07951891422271729,-1.735404722392559,0.1433882713317871,5
high_gamma_power,0.75,-0.07951891422271729,-2.0530983209609985,0.21312427520751953,5
high_gamma_power,0.875,-0.3320222571492195,-2.079065680503845,0.1433882713317871,5
high_gamma_power,1.0,-0.34960559755563736,-2.0530983209609985,0.21312427520751953,5
high_gamma_power,1.125,-0.3320222571492195,-1.8961337059736252,0.23256182670593262,5
high_gamma_power,1.25,0.16514742374420166,-1.8961337059736252,0.23256182670593262,5
high_gamma_power,1.375,-0.06298935413360596,-2.1667572259902954,0.16514742374420166,5
high_gamma_power,1.5,-0.06298935413360596,-2.2045845985412598,0.16514742374420166,5
high_gamma_power,1.625,-0.04480087757110596,-2.2717041969299316,1.1411975622177124,5
high_gamma_power,1.75,-0.04480087757110596,-2.2045845985412598,1.1645032167434692,5
high_gamma_power,1.875,0.3104811906814575,-1.9066438674926758,1.1645032167434692,5
high_gamma_power,2.0,0.42056190967559814,-1.9066438674926758,1.5616666078567505,5
high_gamma_power,2.125,0.6271660923957825,-1.9535382390022278,0.8802769184112549,5
high_gamma_power,2.25,0.23904472589492798,-1.955693393945694,0.7200692892074585,5
high_gamma_power,2.375,0.2047697901725769,-1.9535382390022278,0.7200692892074585,5
high_gamma_power,2.5,0.1921427845954895,-1.7067869938910007,0.9236874580383301,5
high_gamma_power,2.625,-0.19642797112464905,-1.7067869938910007,1.1799843311309814,5
high_gamma_power,2.75,-0.25539863109588623,-2.0528521835803986,1.1799843311309814,5
high_gamma_power,2.875,-0.19642797112464905,-2.6153396368026733,1.292050838470459,5
high_gamma_power,3.0,0.15154027938842773,-2.6854072213172913,0.8455871343612671,5
high_gamma_power,3.125,0.18153417110443115,-2.6854072213172913,0.8455871343612671,5
high_gamma_power,3.25,1.4574021100997925,-2.0690356492996216,2.022412955760956,5
high_gamma_power,3.375,1.8788838386535645,-1.645079767331481,2.1133538484573364,5
high_gamma_power,3.5,1.8788838386535645,-1.645079767331481,2.15902841091156,5
high_gamma_power,3.625,1.7930681705474854,-2.1778132915496826,2.2044867277145386,5
high_gamma_power,3.75,2.2044867277145386,-2.338618278503418,2.272162675857544,5
high_gamma_power,3.875,2.035698413848877,-2.382122576236725,2.2044867277145386,5
high_gamma_power,4.0,2.0153030157089233,-2.382122576236725,2.035698413848877,5
high_gamma_power,4.125,1.6434640288352966,-2.382122576236725,1.8650604486465454,5
high_gamma_power,4.25,1.5743526220321655,-2.426707684993744,1.6434640288352966,5
high_gamma_power,4.375,0.007479429244995117,-2.426707684993744,1.4826961755752563,5
high_gamma_power,4.5,0.007479429244995117,-2.426707684993744,1.5148764848709106,5
high_gamma_power,4.625,0.5226653814315796,-2.47126704454422,1.5148764848709106,5
high_gamma_power,4.75,1.6409670114517212,-2.4103286266326904,1.72526615858078,5
high_gamma_power,4.875,2.1040979623794556,-2.042341321706772,2.2150685787200928,5
high_low_ratio,-4.875,0.14754736423492432,0.0,0.22963905334472656,5
high_low_ratio,-4.75,0.22963905334472656,0.0,0.36787962913513184,5
high_low_ratio,-4.625,0.36787962913513184,0.22415709495544434,0.5803900957107544,5
high_low_ratio,-4.5,0.3477596640586853,0.0,0.5803900957107544,5
high_low_ratio,-4.375,0.1346861720085144,-0.10055160522460938,0.274635910987854,5
high_low_ratio,-4.25,-0.00691831111907959,-0.31270575523376465,0.2002929449081421,5
high_low_ratio,-4.125,-0.09112769365310669,-0.20313096046447754,-0.00691831111907959,5
high_low_ratio,-4.0,-0.09112769365310669,-0.20313096046447754,0.0,5
high_low_ratio,-3.875,-0.20313096046447754,-0.29622286558151245,-0.004857361316680908,5
high_low_ratio,-3.75,-0.4727606177330017,-0.5493162870407104,0.0,5
high_low_ratio,-3.625,-0.5679964423179626,-0.8240968286991119,0.0,5
high_low_ratio,-3.5,-0.5679964423179626,-0.8240968286991119,0.15134847164154053,5
high_low_ratio,-3.375,0.16663622856140137,0.15134847164154053,0.3686186671257019,5
